美佐 /nr 470	 l/nx], [美佐/nrjb, 子/ng
连让 /nr 2	  ，/w], [连让/nr, 两手/m, 
竹勇作一 /nr 2	  。/w], [竹勇作一/nrj, 面/nf,
张开嘴 /nr 2	 , 半/mq, 张开嘴/nr, 。/w], 
竹两 /nr 2	 n, 生/v, 竹两/nr, 个/q, 字
竹晃彦将 /nr 2	  !/w], [竹晃彦将/nrj, 报纸/n,
才好 /nr 2	 , 解释/v, 才好/nr, 。/w], 
向美佐子 /nr 2	  [他/rr, 向美佐子/nrj, 道谢/vi
才将 /nr 2	  ，/w], [才将/nr, 事情/n, 
竹说 /nr 2	  。/w], [竹说/nr, 着/uzhe
念高中 /nr 2	 d, 在/p, 念高中/nr, 的/ude1
于是你 /nr 2	  ，/w], [于是你/nr, 担心/v, 
生晃彦 /nr 2	  瓜/n], [生晃彦/nrj, 。/w],
竹隔 /nr 2	  。/w], [竹隔/nr, 了/ule,
美丽 /nr 2	 的/ude1, 美丽/nrjb, 妇人/n
竹兴司 /nr 2	  ?/w], [竹兴司/nr, 微笑/vi,
谢谢你 /nr 2	 , [“/w, 谢谢你/nr, 。/w], 
