美子 /nr 178	 叫/v, 白木荣美子/nrj, 。/w],
有道理 /nr 2	 , 番话/n, 有道理/nrj, ，/w],
父亲 /nr 2	 的/ude1, 父亲/nrjb, 就是/v
日比谷公园 /nr 2	  [来到/v, 日比谷公园/nrj, 附近/f,
门是 /nr 2	  ，/w], [门是/nr, 锁住/v, 
都有 /nr 2	  。/w], [都有/nr, 这样/rzv
松崎 /nr 2	 是/vshi, 松崎/nrjb, 医师/n
富田小姐 /nr 2	  [呼喊/v, 富田小姐/nrj, 。/w],
那太 /nr 2	  。/w], [那太/nr, 奇怪/v, 
安地 /nr 2	 n, 不/d, 安地/nr, 转过/v, 
向你 /nr 2	 , 该/rz, 向你/nr, 道谢/vi,
美丽 /nr 2	 的/ude1, 美丽/nrjb, 面貌/n
望向 /nr 2	  ，/w], [望向/nr, 外面/f, 
上前一步 /nr 2	 明日香/nz, 上前一步/nrj, 。/w],
那是我 /nr 2	  ，/w], [那是我/nr, 的/ude1
开未央 /nr 2	 d, 离/v, 开未央/nrj, 身边/s,
望向诚 /nr 2	 , 眼神/n, 望向诚/nr, 哉/y, 。
连诚哉 /nr 2	 , [就/d, 连诚哉/nr, 似乎/d, 
向荣美子 /nr 2	 n, 转/v, 向荣美子/nrj, 。/w],
白木荣 /nr 2	 , 和/cc, 白木荣/nr, 美子/nrj
为了让 /nr 2	 是/vshi, 为了让/nrj, 饭店/ni
钟内 /nr 2	 , 十分/d, 钟内/nr, ，/w], 
诚哉 /nr 2	 , 树/n, 朝诚哉/nr, 迈步/vi,
与荣美子 /nr 2	 z, 美/b, 与荣美子/nrj, 、/w, 
回以 /nr 2	  ，/w], [回以/nr, 微笑/vi,
路就 /nr 2	 , 一点/m, 路就/nr, 到/v, 了
朝荣 /nr 2	  ，/w], [朝荣/nr, 美子/nrj
