天下一 /nr 454	 w, 以/p, 天下一/nrjb, 为/p,
贝本 /nr 10	 , 那么/c, 贝本/nrjb, 也/d,
真子 /nr 9	 木/nrjb, 真子/nrjb, 、/w,
濑户 /nr 9	 , [七/m, 濑户/nrjb, 子/ng
本部 /nr 9	 , 警/ng, 本部/nrjb, 搜查/v
新本 /nr 9	 , 一些/m, 新本/nrjb, 格/b,
和夫 /nr 8	 , 弟弟/n, 和夫/nrjb, ，/w]
母屋 /nr 8	 , 与/cc, 母屋/nr, 联系/v, 
奇特 /nr 8	 , [手/n, 奇特/nrf, 的/ude
宫本 /nr 8	 的/ude1, 宫本/nrjb, 治/v,
黄部矢 /nr 7	 , 去/vf, 黄部矢/nr, 一/m, 朗
大黑一朗 /nr 7	 , [“/w, 大黑一朗/nrj, ？/w],
洋子 /nr 6	  [女儿/n, 洋子/nrjb, ，/w]
所旅馆 /nr 6	 d, 一/m, 所旅馆/nrj, 是/vsh
黄部 /nr 6	 , 去/vf, 黄部/nr, 先生/n, 
田八郎 /nr 6	 w, 蛸/x, 田八郎/nr, 以/p, 沉
东野圭吾 /nr 6	 作家/nnt, 东野圭吾/nrj, 的/ude
天下一系 /nr 6	  这个/rz, 天下一系/nrj, 列/v, 
母亲 /nr 6	 , 年前/t, 母亲/nrjb, 病逝/v
长野 /nr 6	  了/ule, 长野/nrjb, 县/n,
君子 /nr 6	 冈/nrjb, 君子/nrjb, 。/w]
野舞子 /nr 5	 , 妻子/n, 野舞子/nrj, 还/d, 
泰子 /nr 5	 , [“/w, 泰子/nrjb, ，/w]
牛山 /nr 5	 , 名叫/v, 牛山/nr, 的/ude1
风间大介 /nr 5	 , [“/w, 风间大介/nrj, 也/d, 
清井 /nr 5	 , 叫/vi, 清井/nr, 的/ude1
望向我 /nr 5	 , 并/cc, 望向我/nr, 这里/rzs
那是我 /nr 5	  。/w], [那是我/nr, 的/ude1
天下一一 /nr 5	 , [”/w, 天下一一/nrj, 副/b, 
山本文雄 /nr 5	 , [（/w, 山本文雄/nrj, 、/w, 
五岛大介 /nr 5	 究家/n], [五岛大介/nrj, ，/w],
海老原 /nr 5	 , 名叫/v, 海老原/nr, 海胆/n, 
天下一亚理沙 /nr 5	 , 叫做/v, 天下一亚理沙/nrj, 。/w],
一郎 /nr 5	 , 沢/w, 源一郎/nrj, ，/w],
克莉丝蒂 /nr 5	 的/ude1, 克莉丝蒂/nrf, （/w, 
高子 /nr 4	 , 妻子/n, 高子/nr, 、/w, 被
那便 /nr 4	  ，/w], [那便/nr, 造就/v, 
岩石 /nr 4	 i, 在/p, 岩石/nrjb, 上/f,
天下一先生 /nr 4	 , [在/p, 天下一先生/nrj, 调查/vn
桃川好美 /nr 4	 的/ude1, 桃川好美/nrj, ——/w,
花之 /nr 4	 w, “/w, 花之/nr, OL/nx,
小枝子 /nr 4	 , 叫/vi, 小枝子/nrj, 的/ude
野舞 /nr 4	 黑/nrjb, 野舞/nr, 子/ng, 
父亲 /nr 4	 , 得到/v, 父亲/nrjb, 的/ud
柯南 /nr 4	 , 漫画/n, 柯南/nrf, 中的/v,
青木 /nr 4	 n, （/w, 青木/nrjb, 真子/n
芜子 /nr 4	 是/vshi, 芜子/nrj, 的/ude
辰哉 /nr 4	 , 叫/vi, 辰哉/nrjb, 的/ud
横沟正史 /nr 4	 , 时期/n, 横沟正史/nrj, 的/ude
绀野 /nr 4	 , 名叫/v, 绀野/nrjb, 绿/a,
黎人 /nr 4	 二阶堂/nz, 黎人/nr, ，/w], 
汤烟 /nr 4	  OL/nx, 汤烟/nr, 温泉/n, 
执行 /nr 4	  了/ule, 执行/nrjb, 死刑/n
岩风 /nr 4	 的/ude1, 岩风/nr, 吕是/nr,
麻耶雄 /nr 3	 c, 在/p, 麻耶雄/nr, 嵩/ng, 
全无 /nr 3	 v, 因/p, 全无/nr, 头绪/n, 
雾野 /nr 3	 , 名叫/v, 雾野/nr, 的/ude1
那婆婆 /nr 3	  。/w], [那婆婆/nr, 看到/v, 
那宗 /nr 3	 , 还是/c, 那宗/nr, 密室/n, 
西野先生 /nr 3	 是/vshi, 西野先生/nrj, 的/ude
