俊介 /nr 546	 木/nrjb, 俊介/nrjb, 的/ud
为爱而活 /nr 1	 v, ：/w, 为爱而活/nrj, ）/w, 
坂崎将 /nr 1	 [”/w], [坂崎将/nrj, 每个/mq
于当 /nr 1	 d, 在/p, 于当/nr, 大家/rr,
并木俊介 /nr 1	 是/vshi, 并木俊介/nrj, ，/w],
才问 /nr 1	 d, 后/f, 才问/nr, ：/w, “
小心可 /nr 1	 q, 不/d, 小心可/nrj, 是/vsh
张开成 /nr 1	  [她/rr, 张开成/nr, “/w, 噢
那件 /nr 1	 , [“/w, 那件/nr, 洋装/n, 
钟便 /nr 1	 , 十分/d, 钟便/nr, 到/v, 了
间明亮 /nr 1	 n, 瞬/n, 间明亮/nrj, 起来/vf
关谷叹 /nr 1	 [”/w], [关谷叹/nr, 了/ule,
崎君子 /nr 1	 。/w], [坂崎君子/nrj, 从/p, 
下一节 /nr 1	  。/w], [下一节/nrj, 是/vsh
那会 /nr 1	  ，/w], [那会/nr, 怎么样/ry
关谷孝史 /nr 1	 , [”/w, 关谷孝史/nrj, 抬头/vi
关口 /nr 1	  。/w], [关口/nrjb, 靖子/n
连你利 /nr 1	 , 她/rr, 连你利/nr, 用/p, 特
门便 /nr 1	  ，/w], [门便/nr, 开/v, 了
要由美 /nr 1	 , 必须/d, 要由美/nrj, 菜子/n,
近藤 /nr 1	 d, 靠/v, 近藤/nrjb, 间/f,
钟则 /nr 1	 , 一点/m, 钟则/nr, 是/vshi
