由香 /nr 242	 , 女儿/n, 由香/nrjb, 。/w]
叶之贰 /nr 8	 v, “/w, 叶之贰/nr, ”/w, 。
古木先生 /nr 6	 , 叫做/v, 古木先生/nrj, 的/ude
于是我 /nr 5	  。/w], [于是我/nr, 再三/d, 
那起 /nr 5	  。/w], [那起/nr, 自杀/vi,
才会 /nr 5	  ，/w], [才会/nr, 故意/d, 
和高 /nr 4	  [他/rr, 和高/nrjb, 显/v,
本间先生 /nr 4	 v, 教/v, 本间先生/nrj, 呢/y, 
藤森 /nr 4	 b, 、/w, 藤森/nrf, 加奈/nr
上前 /nr 4	 d, 凑/v, 上前/nrjb, 看/v,
那也 /nr 4	  ，/w], [那也/nr, 说不上/vl
张开眼 /nr 4	  [我/rr, 张开眼/nr, 。/w], 
那孩子 /nr 3	 , 相信/v, 那孩子/nr, 是/vshi
那是我 /nr 3	  ，/w], [那是我/nr, 一生/n, 
那件 /nr 3	 , 感谢/v, 那件/nr, 殉情/vi,
那张 /nr 3	 , 爸爸/n, 那张/nr, 丑脸/n, 
苍介和 /nr 3	  。/w], [苍介和/nr, 曜子/nrj
苍介一 /nr 3	 [”/w], [苍介一/nr, 副/b, 溺
一原由香 /nr 3	 是/vshi, 一原由香/nrj, 。/w],
叶之 /nr 3	 i, ‘/w, 叶之/nr, 叁/m, ’
叶之叁 /nr 3	 w, “/w, 叶之叁/nr, ”/w, 等
小林真穗 /nr 2	  ，/w], [小林真穗/nrj, 从/p, 
那一天 /nr 2	  。/w], [那一天/nr, ，/w], 
刚过 /nr 2	 是/vshi, 刚过/nr, 十/m, 一
苍介哥 /nr 2	 , [“/w, 苍介哥/nr, 也/d, 不
才去 /nr 2	  ，/w], [才去/nr, 偷/v, 遗
老太太 /nr 2	 的/ude1, 老太太/nrjb, 。/w]
成真 /nr 2	 , 预感/v, 成真/nr, ，/w], 
藤森曜子小姐 /nr 2	 , [“/w, 藤森曜子小姐/nrj, ，/w],
边在 /nr 2	  ，/w], [边在/nr, 烟灰缸/n,
怀炉 /nr 2	 n, 、/w, 怀炉/nr, ……/w],
久等了 /nr 2	  各位/rr, 久等了/nrj, ！/w],
苍介先 /nr 2	 [”/w], [苍介先/nr, 介绍/v, 
枝梨子小姐 /nr 2	  ，/w], [枝梨子小姐/nrj, ，/w],
那你 /nr 2	  ，/w], [那你/nr, 没有/v, 
重太郎 /nr 2	 间/nrjb, 重太郎/nrj, 的/ude
来就好 /nr 2	  [我/rr, 来就好/nr, 。/w], 
拉高 /nr 2	 子/nrjb, 拉高/nrf, 嗓音/n,
里派 /nr 2	 , [“/w, 里派/nrj, 的/ude
下望 /nr 1	 k, 向/p, 下望/nrj, 着/uzh
满可 /nr 1	 r, 还/d, 满可/nrj, 以/p, 
富家 /nr 1	 p, 人/n, 富家/nrjb, 千金/n
门可 /nr 1	 d, 锁/v, 门可/nrj, 是/vsh
矢崎刚 /nr 1	  。/w], [矢崎刚/nrj, 好走/a,
满想 /nr 1	 r, 还/d, 满想/nr, 知道/v, 
望向 /nr 1	  ，/w], [望向/nr, 这边/rzs
表派 /nr 1	 是/vshi, 表派/nrj, 。/w],
那一张 /nr 1	 , 师/ng, 那一张/nr, 衰老/a, 
都是 /nr 1	  ，/w], [都是/nr, 一/m, 群
桐生小姐可 /nr 1	  。/w], [桐生小姐可/nrj, 能/v, 
那几 /nr 1	  ？/w], [那几/nr, 个/q, 问
腰子等 /nr 1	 的/ude1, 腰子等/nrj, 着/uzh
那苍介 /nr 1	  ，/w], [那苍介/nr, 、/w, 曜
那多 /nr 1	  ，/w], [那多/nr, 无趣/nz,
下一 /nr 1	 , [但/c, 下一/nrj, 秒/qt,
若二郎 /nr 1	 , [但/c, 若二郎/nrj, 活着/vi
太美礼 /nr 1	 , 你/rr, 太美礼/nrj, 貌/ng,
真佩服 /nr 1	  ！/w], [真佩服/nr, 他/rr, 
水已全 /nr 1	 的/ude1, 水已全/nr, 染成/v, 
好遥远 /nr 1	 , 感觉/n, 好遥远/nrj, 。/w],
时也 /nr 1	 , 证词/n, 时也/nr, 不/d, 惊
能顺 /nr 1	  [哪/ry, 能顺/nrj, 他/rr,
各旅馆 /nr 1	 着/uzhe, 各旅馆/nrj, 的/ude
照亮了弘美 /nr 1	 , 火焰/n, 照亮了弘美/nrj, 的/ude
那有 /nr 1	  。/w], [那有/nr, 问题/n, 
才问 /nr 1	  我们/rr, 才问/nr, 附近/f, 
路之贰 /nr 1	 i, “/w, 路之贰/nr, ”/w, 、
苍介得 /nr 1	  ，/w], [苍介得/nr, 全部/m, 
