崇史 /nr 763	 /w], [敦贺崇史/nrj, 每周/t,
当心一 /nr 2	 , [“/w, 当心一/nrj, 点/qt,
那副 /nr 2	 音员/nnt, 那副/nr, 认真/ad,
桐山景子 /nr 2	 , 叫/vi, 桐山景子/nrj, 的/ude
关系了 /nr 2	 的/ude1, 关系了/nrj, 。/w],
原地 /nr 2	 i, 在/p, 原地/nrjb, ，/w]
久等了 /nr 2	 , 你/rr, 久等了/nrj, ”/w],
才行 /nr 2	 , 证据/n, 才行/nr, 。/w], 
言毕 /nr 2	  ，/w], [言毕/nr, 又/d, 后
练过 /nr 2	 , 时候/n, 练过/nr, 剑道/nz,
何又 /nr 2	 c, 为/p, 何又/nr, 一下子/m,
无限 /nr 2	 的/ude1, 无限/nrjb, 记忆/n
真孝顺 /nr 2	 r, 还/d, 真孝顺/nrj, 啊/y, 
酒井部长 /nr 2	 的/ude1, 酒井部长/nrj, 吧/y, 
福美 /nr 2	 i, ‘/w, 福美/nrf, 寿司/nf
山本 /nr 2	 , [“/w, 山本/nrjb, 君/ng
那你会 /nr 2	 , [“/w, 那你会/nr, 打/v, 软
那只 /nr 2	  。/w], [那只/nr, 可能/v, 
板桥 /nr 2	 是/vshi, 板桥/nrjb, 区/n,
向同 /nr 1	 是/vshi, 向同/nr, 一个/mq,
张图表 /nr 1	 q, 四/m, 张图表/nr, ”/w], 
田端 /nr 1	 , [在/p, 田端/nrjb, ，/w]
连呼 /nr 1	 , 依然/d, 连呼/nr, 歧视/vn,
来出吧 /nr 1	 , 我/rr, 来出吧/nr, ，/w], 
那一瞬 /nr 1	 , 表情/n, 那一瞬/nrj, ，/w],
那你本 /nr 1	 , [“/w, 那你本/nr, 以为/v, 
学过 /nr 1	 r, 也/d, 学过/nr, 小提琴/n,
励志片 /nr 1	 , 青春/n, 励志片/nr, 里/f, 经
梦和 /nr 1	 [这个/rz, 梦和/nr, 最近/t, 
那孩子 /nr 1	  ，/w], [那孩子/nr, 懒得/v, 
曾对 /nr 1	  自己/rr, 曾对/nr, 智彦/nrj
连一次 /nr 1	 , [“/w, 连一次/nr, 也/d, 没
津野刚 /nr 1	 , [“/w, 津野刚/nrj, 巧/a, 
全是托 /nr 1	 好好学习/n, 全是托/nr, 了/ule,
连白天 /nr 1	  ，/w], [连白天/nr, 在/p, 学
温泉之 /nr 1	 的/ude1, 温泉之/nr, 游/v, ，
高也 /nr 1	 n, 不/d, 高也/nr, 不/d, 低
查觉 /nr 1	 c, 没/d, 查觉/nrf, 这/rzv
潘菲尔德 /nr 1	  ，/w], [潘菲尔德/nrf, 发明/v,
乐而已 /nr 1	 n, 为/p, 乐而已/nr, 。/w], 
